text,english_translation,label,category,flag
"FedEx: शिपमेंट एड्रेस वेरिफिकेशन पेंडिंग है। कन्फर्म करने के लिए 35 रुपये की टोकन फीस भरें, वरना पार्सल हब पर वापस चला जाएगा।","FedEx: shipment address verification is pending. Pay a 35 rupee token fee to confirm, or the parcel will go back to the hub.",1,courier_customs,
"घर बैठे डेटा एंट्री जॉब, रोज 1500 कमाएं। शुरू करने के लिए 799 रुपये की ट्रेनिंग किट फीस जमा करें।","Work from home data entry job, earn 1500 daily. Deposit a 799 rupee training kit fee to get started.",1,job_advance_fee,
"आपका रिज्यूमे शॉर्टलिस्ट हुआ है Amazon पैकिंग जॉब के लिए, सैलरी 22000 महीना। जॉइनिंग किट के लिए 999 रुपये रिफंडेबल डिपॉजिट भेजें।","Your resume has been shortlisted for an Amazon packing job, salary 22000 per month. Send a 999 rupee refundable deposit for the joining kit.",1,job_advance_fee,
"पार्ट टाइम टाइपिंग वर्क, दिन के 3 घंटे, 2000 रुपये रोज। रजिस्ट्रेशन के लिए 350 रुपये आज ही जमा करें, सीट सीमित है।","Part time typing work, 3 hours a day, 2000 rupees daily. Deposit a 350 rupee registration fee today itself, seats are limited.",1,job_advance_fee,
"नमस्ते, HR टीम से बोल रही हूं, आपका इंटरव्यू सिलेक्ट हो गया है ऑनलाइन सर्वे जॉब के लिए। ID कार्ड बनवाने के लिए 599 रुपये भेजिए।","Hello, this is the HR team, you've been selected in the interview for the online survey job. Send 599 rupees to get an ID card made.",1,job_advance_fee,"phrasing 'aapka interview select ho gaya hai' is grammatically a little off — kept because real scam SMS often reads exactly this way, but worth a native-speaker sanity check"
"Flipkart सेलर हब से जुड़कर घर बैठे प्रोडक्ट लिस्टिंग का काम करें, 25000 प्रति माह। अकाउंट एक्टिवेशन के लिए 1100 रुपये सिक्योरिटी जमा करें।","Do product listing work from home by joining Flipkart Seller Hub, 25000 per month. Deposit a 1100 rupee security amount for account activation.",1,job_advance_fee,
"आपको हमारी कंपनी में डेटा वेरिफिकेशन जॉब के लिए चुना गया है, वर्क फ्रॉम होम। लैपटॉप एक्सेस के लिए 450 रुपये रजिस्ट्रेशन चार्ज भरें।","You've been selected for a data verification job at our company, work from home. Pay a 450 rupee registration charge for laptop access.",1,job_advance_fee,
"कॉल सेंटर में वीकेंड जॉब, 500 रुपये प्रति शिफ्ट। जॉइनिंग से पहले 250 रुपये यूनिफॉर्म चार्ज जमा करना अनिवार्य है।","Weekend job in a call center, 500 rupees per shift. It's mandatory to deposit a 250 rupee uniform charge before joining.",1,job_advance_fee,
"आपका सिलेक्शन हुआ है ऑनलाइन प्रोडक्ट रिव्यू टास्क के लिए, हर टास्क का 300 रुपये मिलेगा। पहला टास्क अनलॉक करने के लिए 599 रुपये भेजें।","You've been selected for an online product review task, you'll get 300 rupees per task. Send 599 rupees to unlock the first task.",1,job_advance_fee,
आपका Amazon रिफंड प्रोसेस के लिए कस्टमर केयर को कॉल करें: 1800-XXX-XXX। एजेंट आपसे OTP मांगकर रिफंड वेरिफाई करेगा।,"To process your Amazon refund, call customer care: 1800-XXX-XXX. The agent will ask for your OTP to verify the refund.",1,refund_callback,
"मैं Flipkart सपोर्ट से बोल रहा हूं। आपका 1200 रुपये का रिफंड अटका है, इसे रिलीज़ करने के लिए मुझे आपकी स्क्रीन पर AnyDesk इंस्टॉल करना होगा।","I'm calling from Flipkart support. Your 1200 rupee refund is stuck, to release it I need to install AnyDesk on your screen.",1,refund_callback,
"सर आपका डबल डेबिट हुआ है 899 रुपये का, रिफंड के लिए बस आपके कार्ड पर आया OTP बताना होगा, दो मिनट में पैसा वापस आ जाएगा।","Sir, you were double debited 899 rupees, for the refund you just need to tell me the OTP that came on your card, the money will be back in two minutes.",1,refund_callback,
"गुड मॉर्निंग, मैं Myntra रिटर्न टीम से हूं। आपका 2100 रुपये का रिफंड वेरिफिकेशन पेंडिंग है, कृपया अपना UPI पिन बताकर कन्फर्म करें।","Good morning, I'm from the Myntra returns team. Your 2100 rupee refund verification is pending, please confirm by telling me your UPI PIN.",1,refund_callback,
"आपकी शिकायत नंबर 44521 पर रिफंड अप्रूव हो गया है, 650 रुपये पाने के लिए इस टोल फ्री नंबर पर कॉल करके अपना अकाउंट डिटेल कन्फर्म करें।","Your refund on complaint number 44521 has been approved, to receive 650 rupees call this toll-free number and confirm your account details.",1,refund_callback,
"मैं बैंक की रिफंड डेस्क से बोल रहा हूं, गलत ट्रांजैक्शन के 3200 रुपये वापस करने हैं। प्रोसेस पूरा करने के लिए Google Pay पर आया कोड बताइए।","I'm calling from the bank's refund desk, we need to return 3200 rupees from a wrong transaction. To complete the process tell me the code that came on Google Pay.",1,refund_callback,
"PhonePe कस्टमर केयर: आपकी 500 रुपये की फेल्ड ट्रांजैक्शन रिफंड होने वाली है, वेरिफिकेशन के लिए कॉलबैक पर अपना पिन एंटर करें।","PhonePe customer care: your failed transaction refund of 500 rupees is about to be processed, enter your PIN on the callback for verification.",1,refund_callback,
"सर आपने कल जो कैंसिल किया था उसका 4500 रुपये रिफंड होना बाकी है, हमारे एग्जीक्यूटिव को कॉलबैक करें और OTP शेयर करें ताकि रिफंड आज ही मिल जाए।","Sir, the 4500 rupee refund for what you cancelled yesterday is still pending, call back our executive and share the OTP so the refund arrives today itself.",1,refund_callback,
"बधाई हो! आपका नंबर KBC लकी ड्रॉ में चुना गया है, इनाम राशि 25 लाख रुपये है। क्लेम के लिए 4999 रुपये प्रोसेसिंग फीस भेजें।","Congratulations! Your number has been selected in the KBC lucky draw, the prize amount is 25 lakh rupees. Send a 4999 rupee processing fee to claim it.",1,lottery_windfall,
आपके WhatsApp नंबर पर Jio कंपनी की 15वीं एनिवर्सरी लकी ड्रॉ में 12 लाख रुपये का इनाम निकला है। रजिस्ट्रेशन के लिए 500 रुपये जमा करें।,Your WhatsApp number has won a 12 lakh rupee prize in Jio company's 15th anniversary lucky draw. Deposit 500 rupees for registration.,1,lottery_windfall,
"आपने ऑनलाइन सर्वे में हिस्सा लिया था, उसमें आपका नाम विजेता के रूप में चुना गया है, इनाम 80000 रुपये का Amazon वाउचर। डिलीवरी चार्ज 299 रुपये भेजें।","You participated in an online survey, in that your name has been selected as the winner, the prize is an 80000 rupee Amazon voucher. Send a 299 rupee delivery charge.",1,lottery_windfall,
"Google लॉटरी विभाग से सूचना: आपका ईमेल आईडी 7,50,000 रुपये की विजेता सूची में है। TDS क्लियर करने के लिए 3500 रुपये भेजना जरूरी है।","Notice from the Google lottery department: your email ID is on the 7,50,000 rupee winner list. It is necessary to send 3500 rupees to clear the TDS.",1,lottery_windfall,
"शुभ समाचार! आपका सिम कार्ड नंबर इस महीने के लकी विनर लिस्ट में शामिल है, इनाम राशि 18 लाख। वेरिफिकेशन फीस 2100 रुपये आज जमा करें।","Good news! Your SIM card number is included in this month's lucky winner list, the prize amount is 18 lakh. Deposit a 2100 rupee verification fee today.",1,lottery_windfall,
"आपके मोबाइल नंबर को RBI द्वारा प्रायोजित डिजिटल इंडिया लकी ड्रॉ में 10 लाख रुपये का इनाम मिला है, दावा करने के लिए 1500 रुपये स्टाम्प ड्यूटी भरें।","Your mobile number has won a 10 lakh rupee prize in the RBI-sponsored Digital India lucky draw, pay a 1500 rupee stamp duty to claim it.",1,lottery_windfall,
"आपका सिलेक्शन इस साल की मेगा फेस्टिवल लॉटरी में हुआ है, प्राइज मनी 5 लाख। रिलीज करवाने के लिए हमारे एजेंट को 999 रुपये भेजें।","You have been selected in this year's mega festival lottery, prize money 5 lakh. Send 999 rupees to our agent to get it released.",1,lottery_windfall,
"Airtel यूज़र्स के लिए स्पेशल लकी विनर स्कीम, आपको 9 लाख रुपये कैश प्राइज मिला है। क्लेम करने के लिए इस नंबर पर कॉल करके अपनी बैंक डिटेल दें।","Special lucky winner scheme for Airtel users, you've received a 9 lakh rupee cash prize. Call this number to claim it and give your bank details.",1,lottery_windfall,
SBI: आपका KYC 20 अगस्त तक अपडेट नहीं हुआ तो आपका बचत खाता अस्थायी रूप से रोक दिया जाएगा। अभी अपडेट करने के लिए यहां क्लिक करें।,"SBI: if your KYC is not updated by August 20, your savings account will be temporarily frozen. Click here to update now.",1,kyc_block,
"प्रिय ग्राहक, ICICI बैंक का रिकॉर्ड बताता है कि आपकी पैन डिटेल KYC से मेल नहीं खा रही। 48 घंटे में सुधार न करने पर डेबिट कार्ड बंद हो जाएगा। लिंक पर जाकर वेरिफाई करें।","Dear customer, ICICI Bank's records show that your PAN details do not match your KYC. If not corrected within 48 hours, your debit card will be deactivated. Go to the link and verify.",1,kyc_block,
"नमस्ते, मैं HDFC बैंक ब्रांच से बोल रहा हूं। सिस्टम में आपका ई-केवाईसी वेरिफिकेशन पेंडिंग दिख रहा है, आधार लिंक करने के लिए मुझे OTP बताइए वरना खाता फ्रीज हो जाएगा।","Hello, I'm calling from an HDFC Bank branch. The system shows your e-KYC verification pending, tell me the OTP to link Aadhaar or the account will be frozen.",1,kyc_block,
"Axis Bank ALERT: आपके खाते में लेनदेन तब तक रुका रहेगा जब तक KYC वेरिफाई नहीं होता। तुरंत नीचे दिए लिंक से फॉर्म भरें, कल आखिरी दिन है।","Axis Bank ALERT: transactions on your account will remain blocked until KYC is verified. Fill the form from the link below immediately, tomorrow is the last day.",1,kyc_block,
आपका PNB खाता RBI के नए नियम के अनुसार तीन दिन में सस्पेंड हो जाएगा क्योंकि केवाईसी दस्तावेज पुराने हैं। नया दस्तावेज इस नंबर पर वॉट्सएप करें।,Your PNB account will be suspended in three days as per RBI's new rule because your KYC documents are outdated. WhatsApp new documents to this number.,1,kyc_block,
Kotak Mahindra Bank की तरफ से सूचना: आपकी KYC वैलिडिटी खत्म हो चुकी है। अगले 24 घंटे में अपडेट न करने पर सभी ऑनलाइन सेवाएं बंद कर दी जाएंगी।,"Notice from Kotak Mahindra Bank: your KYC validity has expired. If not updated in the next 24 hours, all online services will be discontinued.",1,kyc_block,
"बैंक ऑफ बड़ौदा (BOB) से: आपके म्यूचुअल फंड खाते में KYC मिसमैच पाया गया है, निवेश फ्रीज होने से बचने के लिए फॉर्म तुरंत भरें।","From Bank of Baroda (BOB): a KYC mismatch has been found in your mutual fund account, fill the form immediately to avoid your investment being frozen.",1,kyc_block,
यूनियन बैंक ग्राहक सेवा: आपका डेबिट कार्ड कल से काम नहीं करेगा क्योंकि बायोमेट्रिक KYC पेंडिंग है। नजदीकी शाखा जाने के बजाय इस लिंक से घर बैठे पूरा करें।,"Union Bank customer service: your debit card will stop working from tomorrow because biometric KYC is pending. Instead of going to the nearest branch, complete it from home via this link.",1,kyc_block,
"मैं क्राइम ब्रांच मुंबई से इंस्पेक्टर बोल रहा हूं। आपके आधार से जुड़े पार्सल में ड्रग्स मिले हैं। अभी वीडियो कॉल ऑन करके लाइन पर बने रहिए, जांच पूरी होने तक डिस्कनेक्ट मत कीजिए।","I'm an inspector speaking from Mumbai Crime Branch. Drugs have been found in a parcel linked to your Aadhaar. Turn on video call right now and stay on the line, do not disconnect until the investigation is complete.",1,digital_arrest,
"यह CBI हेडक्वार्टर से अधिकारी शर्मा बोल रहे हैं। आपके नाम पर मनी लॉन्ड्रिंग का केस दर्ज है, कोर्ट का वारंट है। जब तक हम स्क्रीन पर वर्दी में मौजूद हैं तब तक आप डिजिटल कस्टडी में हैं, कैमरा बंद मत करें।","This is officer Sharma speaking from CBI headquarters. A money laundering case is registered in your name, there is a court warrant. As long as we are present on screen in uniform, you are in digital custody, do not turn off the camera.",1,digital_arrest,
"नारकोटिक्स कंट्रोल ब्यूरो से बोल रहा हूं। आपके पैन कार्ड से जुड़े बैंक अकाउंट में ड्रग मनी ट्रांसफर हुआ पाया गया है। वीडियो कॉल पर बने रहकर अपनी सारी बैंक डिटेल सत्यापित कराइए, वरना आपको तुरंत गिरफ्तार किया जाएगा।","I'm calling from the Narcotics Control Bureau. Drug money transfer has been found in a bank account linked to your PAN card. Stay on the video call and get all your bank details verified, otherwise you will be arrested immediately.",1,digital_arrest,
"ED ऑफिसर बोल रहा हूं, मुंबई जोन। आपके खिलाफ फेमा एक्ट के तहत केस है। जब तक जांच पूरी नहीं होती, आप इस वीडियो कॉल से बाहर नहीं जा सकते, ये आपकी डिजिटल अरेस्ट है। सहयोग के लिए खाते की पूरी जानकारी शेयर करें।","I'm an ED officer, Mumbai zone. There is a case against you under the FEMA Act. Until the investigation is complete, you cannot leave this video call, this is your digital arrest. Share your complete account information for cooperation.",1,digital_arrest,
"साइबर क्राइम सेल दिल्ली से इंस्पेक्टर वर्मा। आपके सिम कार्ड से टेरर फंडिंग के मैसेज भेजे गए हैं, यह गंभीर मामला है। स्काइप वीडियो कॉल पर जुड़िए, जांच अधिकारी के सामने पेश होना अनिवार्य है, बीच में कॉल काटने पर वारंट जारी होगा।","Inspector Verma from Delhi Cyber Crime Cell. Terror funding messages have been sent from your SIM card, this is a serious matter. Join the Skype video call, it is mandatory to appear before the investigating officer, a warrant will be issued if you cut the call midway.",1,digital_arrest,
"मैं सुप्रीम कोर्ट लीगल सेल से बोल रहा हूं। आपका नाम एक अंतरराष्ट्रीय मनी लॉन्ड्रिंग रैकेट में आया है। हमारे साथ वीडियो कॉल पर लगातार बने रहिए जब तक स्टेटमेंट रिकॉर्ड नहीं हो जाता, किसी और को इस बारे में मत बताइए।","I'm calling from Supreme Court Legal Cell. Your name has come up in an international money laundering racket. Stay continuously on video call with us until the statement is recorded, do not tell anyone else about this.",1,digital_arrest,
"पुलिस यूनिफॉर्म में अधिकारी: आपके नाम से जारी सिम से ब्लैकमेल कॉल्स हुई हैं, केस मुंबई हाई कोर्ट में चल रहा है। जांच पूरी होने तक वीडियो कॉल बंद न करें, हिलना भी मत, कोर्ट ऑब्जर्वेशन में हैं आप अभी।","Officer in police uniform: blackmail calls have been made from a SIM issued in your name, the case is running in Mumbai High Court. Do not end the video call until the investigation is complete, don't even move, you are under court observation right now.",1,digital_arrest,
"यह RBI फ्रॉड मॉनिटरिंग सेल है, हमारे साथ CBI अधिकारी भी जुड़े हैं इस कॉल पर। आपके खाते से हवाला ट्रांजैक्शन हुआ पाया गया, वीडियो कॉल पर पूरी पूछताछ तक बैठे रहिए, बीच में उठे तो गिरफ्तारी वारंट भेज दिया जाएगा।","This is the RBI Fraud Monitoring Cell, CBI officers have also joined this call. A hawala transaction has been found from your account, stay seated through the entire questioning on video call, if you get up in between, an arrest warrant will be sent.",1,digital_arrest,
"मैंने गलती से आपको 5000 रुपये भेज दिए, कृपया कलेक्ट रिक्वेस्ट स्वीकार करके वापस भेज दीजिए, पैसा जरूरी काम के लिए चाहिए।","I accidentally sent you 5000 rupees, please accept the collect request and send it back, I need the money for urgent work.",1,upi_collect_request,
"आपको कैशबैक मिला है 250 रुपये का, बस भेजा हुआ रिक्वेस्ट एक्सेप्ट करके अपना पिन डालिए, पैसा तुरंत आपके खाते में आ जाएगा।","You've received a 250 rupee cashback, just accept the request that's been sent and enter your PIN, the money will come into your account instantly.",1,upi_collect_request,
"सर मैं वही डिलीवरी ब्वॉय हूं, गलती से कलेक्ट रिक्वेस्ट भेज दी है 20 रुपये की, प्लीज एक्सेप्ट कर दीजिए वरना मेरी सैलरी से कटेगा।","Sir, I'm the same delivery boy, I accidentally sent a collect request for 20 rupees, please accept it or it will be deducted from my salary.",1,upi_collect_request,
"आपका Google Pay रिवॉर्ड 199 रुपये का पेंडिंग है, इसे क्लेम करने के लिए भेजी गई रिक्वेस्ट को एक्सेप्ट करें और UPI पिन एंटर करें।","Your Google Pay reward of 199 rupees is pending, to claim it accept the request that has been sent and enter your UPI PIN.",1,upi_collect_request,
"भाई गलती से तुम्हें पैसे भेजने की जगह रिक्वेस्ट चली गई, 1500 रुपये की, एक्सेप्ट कर देना जल्दी से, अर्जेंट है।","Brother, instead of sending you money by mistake a request went out, for 1500 rupees, accept it quickly, it's urgent.",1,upi_collect_request,
"PhonePe से नोटिफिकेशन: आपके खाते में रिफंड आया है 340 रुपये का, प्राप्त करने के लिए भेजी गई रिक्वेस्ट स्वीकार करें।","Notification from PhonePe: a refund of 340 rupees has come to your account, accept the request sent to receive it.",1,upi_collect_request,
"मैडम आपका सामान बेच दिया OLX पर, पेमेंट भेज रहा हूं आपको, बस स्क्रीन पर आया रिक्वेस्ट एक्सेप्ट कर दीजिए, 6000 रुपये है।","Madam, I sold your item on OLX, I'm sending you the payment, just accept the request that appears on screen, it's 6000 rupees.",1,upi_collect_request,
"आपकी बिजली रीफंड 875 रुपये अप्रूव हो गई है, राशि पाने के लिए UPI ऐप पर आई रिक्वेस्ट को एक्सेप्ट करके पिन डालें।","Your electricity refund of 875 rupees has been approved, to receive the amount accept the request that came on the UPI app and enter your PIN.",1,upi_collect_request,
बिना किसी डॉक्यूमेंट के 3 लाख का पर्सनल लोन अप्रूव हो गया है आपका। डिसबर्सल के लिए 1499 रुपये प्रोसेसिंग फीस जमा करें।,Your 3 lakh personal loan has been approved without any documents. Deposit a 1499 rupee processing fee for disbursal.,1,loan_advance,
"Bajaj Finserv प्री-अप्रूव्ड लोन: 50000 रुपये सिर्फ आधार कार्ड पर, 10 मिनट में खाते में। फाइल चार्ज 599 रुपये पहले भेजना होगा।","Bajaj Finserv pre-approved loan: 50000 rupees just on Aadhaar card, in your account in 10 minutes. A 599 rupee file charge has to be sent first.",1,loan_advance,
"आपको 2 लाख का इंस्टेंट लोन मिल सकता है जीरो सिबिल चेक के साथ, बस इंश्योरेंस के 899 रुपये अभी जमा कर दीजिए, बाकी अमाउंट तुरंत ट्रांसफर होगा।","You can get an instant loan of 2 lakh with zero CIBIL check, just deposit the 899 rupee insurance right now, the rest of the amount will transfer immediately.",1,loan_advance,
"किसान क्रेडिट लोन स्कीम में आपका 1.5 लाख अप्रूव हुआ है, GST क्लियरेंस के लिए 750 रुपये सरकारी खाते में भेजें।","Your 1.5 lakh has been approved in the Kisan Credit Loan Scheme, send 750 rupees to the government account for GST clearance.",1,loan_advance,
"नमस्ते, HDFC लोन डिपार्टमेंट से बोल रहे हैं। आपका 80000 का लोन सैंक्शन हो चुका है, बस स्टाम्प ड्यूटी के 450 रुपये NEFT करें, आज ही अकाउंट में क्रेडिट होगा।","Hello, this is HDFC Loan Department calling. Your 80000 loan has been sanctioned, just NEFT the 450 rupee stamp duty, it will be credited to your account today itself.",1,loan_advance,
"गोल्ड लोन बिना गोल्ड जमा किए, सिर्फ फोटो भेजकर 1 लाख तक पाएं। वेरिफिकेशन फीस 599 रुपये आज ही भेजें, ऑफर सिर्फ आज के लिए है।","Gold loan without depositing gold, get up to 1 lakh just by sending a photo. Send the 599 rupee verification fee today itself, the offer is only for today.",1,loan_advance,
"आपका एजुकेशन लोन 4 लाख अप्रूव हो चुका है सरकारी स्कीम के तहत, फाइल ओपनिंग चार्ज 1200 रुपये जमा करके प्रोसेस पूरा करें।","Your 4 lakh education loan has been approved under the government scheme, complete the process by depositing a 1200 rupee file opening charge.",1,loan_advance,
"क्रेडिट कार्ड पर 0% ब्याज लोन ऑफर, 60000 रुपये सीधा खाते में। एक्टिवेशन के लिए 349 रुपये की मेंबरशिप फीस भेजनी होगी।","0% interest loan offer on credit card, 60000 rupees directly into your account. A 349 rupee membership fee has to be sent for activation.",1,loan_advance,
"आपका Flipkart ऑर्डर #FLP4521 कैंसिल हो गया है, 1899 रुपये रिफंड के लिए अपना कार्ड नंबर और CVV इस लिंक पर वेरिफाई करें।","Your Flipkart order #FLP4521 has been cancelled, verify your card number and CVV at this link for a 1899 rupee refund.",1,ecommerce_refund_phishing,
"Myntra: आपके रिटर्न किए गए आइटम का रिफंड फेल हो गया है। बैंक डिटेल दोबारा वेरिफाई करने के लिए फॉर्म भरें, वरना 2200 रुपये वापस नहीं मिलेंगे।","Myntra: the refund for your returned item has failed. Fill the form to re-verify bank details, or you will not get back the 2200 rupees.",1,ecommerce_refund_phishing,
"आपके Amazon अकाउंट में गलत ऑर्डर प्लेस हुआ है 6500 रुपये का, कैंसिल करने और रिफंड पाने के लिए इस लिंक पर अपनी डिटेल कन्फर्म करें।","A wrong order worth 6500 rupees has been placed on your Amazon account, confirm your details at this link to cancel it and get a refund.",1,ecommerce_refund_phishing,
"Meesho ऑर्डर वापसी: आपका 340 रुपये का रिफंड प्रोसेस नहीं हो पाया क्योंकि डेबिट कार्ड एक्सपायर हो गया, नया कार्ड डिटेल यहां अपडेट करें।","Meesho order return: your 340 rupee refund could not be processed because the debit card expired, update the new card details here.",1,ecommerce_refund_phishing,
"आपके Ajio ऑर्डर की डिलीवरी फेल हुई, रिफंड 1150 रुपये पाने के लिए इस लिंक पर UPI आईडी और पिन एंटर करें।","Your Ajio order delivery failed, enter your UPI ID and PIN at this link to receive a 1150 rupee refund.",1,ecommerce_refund_phishing,
"Snapdeal से सूचना: आपके ऑर्डर की पेमेंट डबल कट गई, 899 रुपये एक्स्ट्रा वापस पाने के लिए यहां क्लिक करके नेट बैंकिंग लॉगिन करें।","Notice from Snapdeal: your order payment was deducted twice, click here and log in to net banking to get back the extra 899 rupees.",1,ecommerce_refund_phishing,
"आपका BigBasket ऑर्डर पेमेंट फेल दिखा रहा है लेकिन पैसा कट गया, 720 रुपये रिफंड के लिए फॉर्म में कार्ड डिटेल भरें।","Your BigBasket order shows payment failed but the money was deducted, fill card details in the form for a 720 rupee refund.",1,ecommerce_refund_phishing,
"Nykaa कैशबैक ऑफर फेल हुआ, 450 रुपये वापस पाने के लिए इस लिंक पर जाकर अपना डेबिट कार्ड नंबर और एक्सपायरी डेट डालें।","Nykaa cashback offer failed, go to this link and enter your debit card number and expiry date to get back 450 rupees.",1,ecommerce_refund_phishing,
"PM किसान योजना के तहत आपके खाते में 4000 रुपये अतिरिक्त क्रेडिट होने वाले हैं, बैंक डिटेल वेरिफाई करने के लिए इस लिंक पर आधार नंबर डालें।","Under the PM Kisan scheme, an additional 4000 rupees is about to be credited to your account, enter your Aadhaar number at this link to verify bank details.",1,govt_scheme_lure,
"आयुष्मान भारत कार्ड फ्री बनवाएं, 5 लाख तक का इलाज मुफ्त। रजिस्ट्रेशन के लिए इस APK को डाउनलोड करके अपनी डिटेल भरें।","Get an Ayushman Bharat card made free, up to 5 lakh treatment free. Download this APK and fill in your details to register.",1,govt_scheme_lure,"combines a benefit lure with an APK install ask — real pattern per news reporting on fake PM-Kisan/scheme APKs, but flagging so a reviewer confirms it should stay in govt_scheme_lure rather than a separate malware/APK category"
"PM आवास योजना में आपका नाम लिस्ट में आया है, 2.5 लाख की सब्सिडी पाने के लिए फॉर्म में बैंक अकाउंट और आधार लिंक करें।","Your name has come up in the list for the PM Awas Yojana, link your bank account and Aadhaar in the form to receive a 2.5 lakh subsidy.",1,govt_scheme_lure,
"श्रमिक कार्ड धारकों के लिए सरकार दे रही है 3000 रुपये मासिक भत्ता, अभी आवेदन करें इस लिंक पर आधार और बैंक डिटेल भरकर।","The government is giving a 3000 rupee monthly allowance for labour card holders, apply now by filling in Aadhaar and bank details at this link.",1,govt_scheme_lure,
